"Pathway","Genes","Category"
"homogentisate catabolic process","FAH","GO"
"homologous recombination","RBBP8,BARD1,BRCA1,BRIP1,HDAC10,RAD50,UHRF1,TOPBP1,MRE11,NBN","GO"
"hormone biosynthetic process","TPO,FDX1,CHST8,DIO3,DUOX2,DUOX1,TG,DIO2,CHST9,HFE,CYP17A1,DIO1","GO"
"hormone catabolic process","ECE1,MME,IDE,ACE","GO"
"hormone metabolic process","PTPN11,SELENOM,PAPSS2,BBS1,GHR,FOXA1,GHRHR,NAGLU,KLK6,DDO,NR5A1,WNT4,PRLHR,ACE,LEP","GO"
"hyaluronan biosynthetic process","CEMIP,HAS3,IL1B,HYAL1,HAS2,HAS1,ABCC5","GO"
"hyaluronan catabolic process","HEXB,HYAL3,HMMR,CEMIP,CEMIP2,STAB2,GUSB,HYAL2,CD44,HYAL1,HEXA,TGFB1,SPAM1,LYVE1,HYAL4,FGF2","GO"
"hyaluronan metabolic process","ITIH3,ITIH6,ITIH4,HYAL1,TNFAIP6,ITIH1,ITIH2,ITIH5","GO"
"hydrogen peroxide biosynthetic process","CYBB,CYP1A1,MAOB,SOD1,CYBA,CYP1A2,DUOX2,DUOX1,ACOX1,SOD2","GO"
"hydrogen peroxide catabolic process","HBA1,LPO,HBG2,HBG1,GPX1,TPO,PRDX2,PXDNL,PRDX3,PRDX5,PRDX1,GPX3,MPO,EPX,DUOX2,DUOX1,HBM,HBB,APOA4,PXDN,PRDX4,HBD,HBZ,HBQ1,HBE1,CAT","GO"
"hydrogen peroxide metabolic process","EGFR,DUOXA2,DUOXA1,NOX1,PARK7","GO"
"hydrogen sulfide biosynthetic process","MPST,CBS,CTH","GO"
"hydrogen sulfide metabolic process","ETHE1","GO"
"hydroxylysine biosynthetic process","PLOD2,PLOD3","GO"
"hypochlorous acid biosynthetic process","MPO","GO"
"hypoxanthine biosynthetic process","PRPS1","GO"
"hypoxanthine catabolic process","XDH","GO"
"hypoxanthine metabolic process","HPRT1","GO"
"hypoxanthine salvage","HPRT1,ADA","GO"
"icosanoid biosynthetic process","NAIP,CYP2C8,CYP4A22,PYCARD,CYP4A11,NLRC4,CASP1,FADS1,CYP2C9","GO"
"icosanoid metabolic process","PTGIS,PLA2G4A,CYP4F3,CYP2J2,CYP2S1,TBXAS1,CYP4F8,CYP4F2,CYP4F22","GO"
"immunoglobulin V(D)J recombination","TCF3,CYREN,XRCC4,LIG4,NHEJ1,PRKDC","GO"
"immunoglobulin heavy chain V-D-J recombination","YY1,POLB","GO"
"immunoglobulin production","VPREB1,IGKV3D-11,IGKV1D-13,IGKV1-17,IGKV1-39,IGKV1-33,IGKV1D-33,IGLV5-52,IGKV2D-26,IGKV1D-8,IGKV3D-15,IGLV5-45,IGLV3-32,VPREB3,IGKV2-29,IGKV1D-43,IGLV9-49,IGKV2-40,IGLV5-39,IGKV1D-17,IGKV2D-29,TRAV2,IGKV6D-21,IGLV3-25,IGLV3-1,IGLV3-19,IGLV2-8,IGLV2-11,IGLV2-23,IGLV2-14,IGLV1-51,IGLV1-47,IGLV7-43,IGLV3-21,TRAV38-1,IGLV1-36,TRDV3,TRAV38-2DV8,IGLV1-44,IGKV3-15,IGKV3-20,IGKV2D-28,IGKV2D-40,IGKV1D-12,IGKV2D-24,IGKV2-28,IGLV4-3,IGLV3-9,IGLV3-10,IGLV3-12,IGLV3-16,IGLV2-18,IGLV3-22,IGLV2-33,IGLV5-37,IGLV7-46,IGLV5-48,IGLV1-50,IGLV10-54,IGLV11-55,IGLV4-60,IGLV8-61,IGLV4-69,IGKV1D-42,IGKV3-7,IGKV1OR2-108,TRAV19,IGKV4-1,TRAV14DV4,IGKV1-37,IGKV2D-30,IGKV1-27,IGKV3-11,IGKV1D-39,IGKV1-16,IGKV5-2,IGKV2-30,IGKV1D-16,IGKV1-5,IGLV1-40,IGLV3-27,IGLV6-57,IGKV3OR2-268,IGKV1-12,IGKV1-6,IGKV1-9,IGKV2-24,IGKV1-8,IGKV3D-7,IGKV6D-41,IGKV3D-20,IGKV6-21,TRDV1,IGKV1D-37,IGKV1-13","GO"
"immunoglobulin production involved in immunoglobulin-mediated immune response","GAPT","GO"
"indolalkylamine biosynthetic process","AANAT,ASMT","GO"
"indole metabolic process","SLC34A1","GO"
"inosine biosynthetic process","ADA2,ADA,ADAL","GO"
"inosine catabolic process","XDH,PNP","GO"
"inositol biosynthetic process","ISYNA1,IMPA2,IMPA1","GO"
"inositol catabolic process","MIOX","GO"
"inositol metabolic process","MECP2,ITPKA,SLC5A3,IMPA2,PPIP5K1,IMPA1,PPIP5K2","GO"
"inositol phosphate biosynthetic process","ITPKC,ITPKB,IPMK,IP6K2,IP6K3,ITPKA,PPIP5K1,IP6K1,IPPK,PPIP5K2","GO"
"inositol phosphate catabolic process","NTSR1","GO"
"inositol phosphate metabolic process","IPMK,SYNJ1,INPP5J,IP6K2,INPP5B,INPP5A,GALR2,INPP4B,INPP4A,IP6K3,MINPP1,OCRL,PPIP5K1,IP6K1,IPPK,PPIP5K2","GO"
"inositol trisphosphate biosynthetic process","PLCG2,PTAFR","GO"
"inositol trisphosphate metabolic process","ITPKB,IPMK,PLCB1,ITPK1","GO"
"insecticide metabolic process","CYP1A1","GO"
"insulin catabolic process","CTSD,CELA2A,CEACAM1,IDE","GO"
"insulin metabolic process","ERN1,NLGN2,IDE,PAX6,FOSL2","GO"
"insulin processing","PCSK1,P4HB,CPE,SLC30A8,YIPF5,ERO1B,SLC30A5,PCSK2","GO"
"insulin receptor recycling","CTSD,PTPN2,SORL1,PTPN1","GO"
"integrin biosynthetic process","COL5A1","GO"
"intein-mediated protein splicing","SHH,IHH","GO"
"interleukin-8 production","LRRC19","GO"
"internal mRNA (guanine-N7-)-methyltransferase activity","METTL1","GO"
"internal peptidyl-lysine acetylation","EP300,KAT7,KAT2B,KAT2A,BAG6","GO"
"internal protein amino acid acetylation","MAPT,EP300,HAT1,NAA10","GO"
"interstrand cross-link repair","XRCC3,NUCKS1,RAD51AP1,FANCF,RAD51D,RNF8,FAAP20,CENPX,VCP,HROB,FANCB,FAN1,ATR,POLN,CENPS,DCLRE1A,FANCC,FANCE,FAAP100,RNF168,DCLRE1B,FANCM,FANCG,FAAP24,FANCL,FANCA,ERCC1,FIRRM,RAD51,FANCI,FANCD2,ERCC6L2,DCLRE1C,NEIL3,RFWD3,EXO5","GO"
"iron incorporation into metallo-sulfur cluster","FXN,NFS1","GO"
"iron-sulfur cluster assembly","FXN,NDOR1,XDH,NFU1,NUBP2,CIAO1,GLRX5,CIAO3,NUBP1,GLRX3,ABCB7,BOLA1,CIAO2B,FDX2,ISCU,NDUFAB1,LYRM4,HSPA9,ISCA2,NFS1,CIAPIN1,ISCA1,HSCB,IBA57,BOLA3,CIAO2A,BOLA2,NUBPL","GO"
"islet amyloid polypeptide processing","PCSK2","GO"
"isocitrate metabolic process","IDH3B,IDH2,IDH3A,ACO2,IDH3G,IDH1","GO"
"isoleucine biosynthetic process","SDSL,ILVBL,SDS","GO"
"isoleucine catabolic process","HSD17B10,ACADSB,BCAT2,ACAT1","GO"
"isoleucyl-tRNA aminoacylation","IARS1,IARS2","GO"
"isopentenyl diphosphate biosynthetic process","IDI2,IDI1","GO"
"isopentenyl diphosphate biosynthetic process, mevalonate pathway","PMVK,MVD,MVK","GO"
"isopentenyl diphosphate metabolic process","IDI2","GO"
"isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine","IVL","GO"
"isoprenoid biosynthetic process","GGPS1,COQ2,IDI2,MVD,CRPPA,MVK,PDSS2,PDSS1,HMGCR","GO"
"isoprenoid metabolic process","GGPS1,PLPP6,PHYH","GO"
"isoquinoline alkaloid metabolic process","TH,CYP2D6","GO"
"isotype switching","BATF,MSH6,EXOSC6,RNF8,MLH1,SWAP70,EXOSC3,NFKBIZ,UNG,MSH2,RNF168,AICDA,CD40LG,ATAD5,LIG4,ERCC1,EXO1,NBN,SANBR","GO"
"isotype switching to IgA isotypes","CCR6","GO"
"isotype switching to IgE isotypes","FOXP3,STAT6,BCL6","GO"
"isotype switching to IgG isotypes","HSPD1","GO"
"keratan sulfate biosynthetic process","CHST2,CHST1,B4GAT1,ST3GAL2,B3GNT7,ST3GAL6,B3GNT4,CHST6,CHST5,B3GNT2,B3GNT3,ST3GAL4,ST3GAL3,ST3GAL1,SLC35D2,B4GALT4","GO"
"keratan sulfate catabolic process","GLB1,GNS","GO"
"keratan sulfate metabolic process","CHST1","GO"
"ketohexokinase activity","KHK","GO"
"ketone biosynthetic process","SIRT6","GO"
"ketone body biosynthetic process","HMGCL,HMGCS2,HMGCLL1,AACS,ACSS3","GO"
"ketone body catabolic process","OXCT1,OXCT2,ACAT1","GO"
"ketone body metabolic process","ACAT1","GO"
"ketone catabolic process","OXCT1","GO"
"kynurenic acid biosynthetic process","KMO,IDO1","GO"
"kynurenine metabolic process","KMO,AADAT,KYAT3,KYAT1","GO"
"kynurenine-glyoxylate transaminase activity","AADAT,KYAT3","GO"
"kynurenine-oxoglutarate transaminase activity","GOT2,AADAT,KYAT3,KYAT1","GO"
"lactam catabolic process","DPEP1","GO"
"lactate biosynthetic process","GATD1,PARK7,PER2","GO"
"lactate biosynthetic process from pyruvate","LDHC","GO"
"lactate catabolic process","LDHD","GO"
"lactate metabolic process","HIF1A,LDHA,MRS2,LDHB,LDHAL6B,PFKFB2,LDHC,LDHAL6A","GO"
"lactate oxidation","C0HLV8,LDHC","GO"
"lactose biosynthetic process","LALBA,B4GALT1","GO"
"lactose catabolic process","LCT","GO"
"lactosylceramide biosynthetic process","B4GALT6,B4GALT4","GO"
"lagging strand elongation","LIG3,LIG1,POLA1","GO"
"late endosomal microautophagy","VPS4B,VPS4A","GO"
"lauric acid metabolic process","CYP4A22,CYP4A11,CYP4Z1","GO"
"leading strand elongation","PCNA,POLE,POLE3,POLA1","GO"
"leucine biosynthetic process","BCAT2,BCAT1","GO"
"leucine catabolic process","IVD,HMGCL,MCCC2,MCCC1,AUH,HMGCLL1","GO"
"leucyl-tRNA aminoacylation","LARS1,LARS2","GO"
"leukotriene A4 biosynthetic process","ALOX5","GO"
"leukotriene A4 metabolic process","ALOX12","GO"
"leukotriene B4 catabolic process","CYP4F12,CYP4A11,CYP4F3,CYP4F2","GO"
"leukotriene B4 metabolic process","PTGR1","GO"
"leukotriene D4 biosynthetic process","GGT6,GGT7,GGTLC3,GGTLC2,GGTLC1,GGT3P,GGTA1,GGT5,GGT2P,GGT1","GO"
"leukotriene D4 catabolic process","DPEP2,DPEP1","GO"
"leukotriene biosynthetic process","LTC4S,MGST2,SYK,ALOX5AP,PRG3,PLA2G4A,PLA2G1B,MGST3,LTA4H,ALOX5,PLA2G5","GO"
"leukotriene metabolic process","LTC4S,DPEP2,MAPKAPK2,PTGR1,CPA1,CYP4A11,ABCC1,CYP4F3,ABCC10,ALOX5,GGT1,CYP4F2,TLR2","GO"
"leukotriene-B4 20-monooxygenase activity","CYP4F12,CYP4A11,CYP4F3,CYP4F2","GO"
"linoleic acid metabolic process","FADS2,ALOX12B,CYP4A22,GSTM2,GSTA1,ELOVL2,CYP4A11,CYP2C18,ABCD1,ALOX12,CYP2J2,ELOVL5,ALOX15B,ELOVL1,ALOX15,ALOXE3,ALOX5,GSTP1,PNPLA8,ELOVL3,FADS1","GO"
"lipid biosynthetic process","OLAH,SREBF1,ACLY,PRKAA2,CLN8,CCDC3,ACSL1,GPAT4,DOLPP1,PRKAA1,PRPF19,SERPINA12,AGPS,ACSS2,MLXIPL","GO"
"lipid catabolic process","PLA2G2C,LIPK,LIPN,LIPF,PLCXD3,ABHD15,LIPH,LIPE,PLCB4,CRTC3,PAFAH1B3,IAH1,LRCOL1,CES1,PAFAH1B1,PLA1A,LIPJ,CES1P1,BSCL2,PLIN1,PLCH2,LIPM,ADORA1,HINT2,PLA2G2E,OC90,PLCB2,PLAAT2,PNLIP,PLA2G12B,PLAAT3,PLD6,PLA2G2D,CLPSL1,PLA2G1B,PLAAT1,NAAA,PLCE1,PLCH1,LIPA,PAFAH2,APOA4,PLA2G2F,PLA2G12A,TBL1XR1,ASPG,PLCZ1,CLPSL2,PLCB3,NCEH1,CLPS,PAFAH1B2,PLCD1,PPT1,FAAH2,PNLIPRP3,PLCD4,SULT2A1,LIPI,APOC2,RAB7A,PLA2G2A,PLAAT4,ABHD4,LDAH,PLCXD2,PLCD3","GO"
"lipid glycosylation","B4GALNT2,ST3GAL2,A3GALT2,GBGT1,B4GALNT1,GBA1,GBA2,ABO,GLT6D1,B3GALT1,SLC35C1,ST3GAL4","GO"
"lipid hydroxylation","CYP2C8,CYP3A5,CYP4A22,CYP1A1,CYP2E1,CYP3A4,CYP3A7","GO"
"lipid metabolic process","FADS3,OMA1,TMEM43,CH25H,RDH16,RIDA,SC5D,VSIG2,TTC39B,FADS2,ANO9,AOX1,SDSL,FNTB,RBP3,FMO5,AKR7A2,CLU,GPX5,PITPNB,GDPD5,MGLL,ATP5F1B,MGST2,HSD17B10,CEPT1,AWAT2,CHPT1,PITPNM1,SREBF1,COMT,KBTBD2,PTPRN2,LRP8,UGT2B7,ABCB4,EPHX3,AWAT1,APOC4,PAFAH1B3,ADHFE1,NPHP3,PLTP,LRP1,TM6SF2,LCAT,PLA1A,CD36,PPARG,ACAD8,PPARD,ZFP69,PLIN1,ATP5F1A,PDE3A,HMGCL,ALDH3A1,PTPN22,B3GALT5,GDPD4,SLC16A11,LIPT1,STARD3,LPA,GPR31,FUT1,COX10,ANGPTL4,FADS6,CNEP1R1,PNLIP,ZNF202,ACOT13,ACP3,APOD,BCKDHB,TMEM86A,LPIN2,B4GALT1,ARSA,SREBF2,HNF4A,TPP1,PLCL1,CYP3A4,UGT2B10,BTN2A1,MTTP,SLC16A1,IL1RN,LRP10,WNT10B,LDLR,FAH,ATG4A,ALOX12,CYP4X1,ALDH3B1,THRSP,PC,PAFAH2,PITPNA,G6PD,TRPV1,PGAP6,ABCA2,LACTB,ASMT,LIPG,CPNE1,ALDH3B2,ENPP6,GDPD2,ACOX1,APOBEC1,APOL5,SULT1C3,GDE1,ACAT2,MGST3,OCRL,ALOX15B,UCP3,CPNE7,CLPS,BCAT2,PAFAH1B2,ALOX15,JAZF1,TPRA1,GLYATL3,LTA4H,HSD17B13,FADS2B,FABP6,SDS,BCAT1,AADAC,CTH,PLCXD1,ZNF670,PRLH,DGAT2L6,LRP2,HSPG2,FABP5,CHKA,MID1IP1,GSTA3,PNLIPRP1,TTPA,CIDEA,PTGES2,APOL2,PLCL2,UMOD,PLAGL2,APOL4,APOC1,FKRP,HMGCS1,AKR1A1,CEL,CRKL,CRK,LEP,UGT1A10,APOF,NAA40,ACSL4,FADS1,RUBCNL,TMEM68","GO"
"lipid modification","PORCN,LPCAT3,MBOAT7,MBOAT4,FA2H,MBOAT2,MBOAT1","GO"
"lipid oxidation","ALOX12B,ALOX12,ALOX15B,PLA2G7,ALOX15,ALOXE3,ALOX5","GO"
"lipid phosphorylation","DGKH,DGKK,AGK,DGKB,DGKE,DGKQ,DGKA,DGKZ,DGKI,DGKD,DGKG","GO"
"lipid ubiquitination","RNF213","GO"
"lipoate biosynthetic process","LIAS","GO"
"lipoate synthase activity","LIAS","GO"
"lipophagy","AUP1,RAB7A","GO"
"lipopolysaccharide catabolic process","AOAH","GO"
"lipoprotein biosynthetic process","APOE,LCAT,ABCA1,APOBEC1,APOB,APOA1","GO"
"lipoprotein catabolic process","CTSD,LDLR,LIPA,APOB,ATM","GO"
"lipoprotein lipid oxidation","SAMD1","GO"
"lipoprotein metabolic process","NPC1L1,PCSK9,APOM,APOL1,MTTP,PPARA,APOA4,APOA5,APOL5,APOL6,OLR1,APOLD1,APOL2,APOL3,APOL4,APOC3,APOC1","GO"
"lipoxin A4 biosynthetic process","ALOX12,ALOX15B,ALOX15","GO"
"lipoxin A4 metabolic process","PTGR1","GO"
"lipoxin B4 biosynthetic process","ALOX12","GO"
"lipoxin biosynthetic process","ALOX5","GO"
"lipoxygenase pathway","GPX1,ALOX12B,GPX4,ALOX5AP,HPGD,ALOX12,PLA2G3,ALOX15B,ALOX15,ALOXE3,ALOX5","GO"
"lncRNA catabolic process","WDR82,ZC3H4","GO"
"long-chain fatty acid biosynthetic process","CYP2D6,CYP2C8,ACSBG1,LTC4S,GPX4,CYP1A1,PLP1,CYP2E1,CYP1A2,ELOVL6,ASAH2,ACSBG2,CYP3A4,GSTM4,ALOX15,ALOX5,QKI,FADS1,CYP2C9","GO"
"long-chain fatty acid catabolic process","GLYATL2,ADTRP,ABCD1,ACADL,AIG1","GO"
"long-chain fatty acid metabolic process","ACSL5,ACSBG1,SLC27A3,ACOT2,CYP4F12,CYP1A1,ACSM1,ACSL6,ACSL3,ACSF2,SLC27A5,SLC27A6,SLC27A2,CPT1A,ACOT4,CPT2,CYP2E1,CYP4A11,CYP2C19,SLC27A4,ACSL1,ACOT1,ACAD9,PNPLA3,CYP4F2,ACSL4,SLC27A1","GO"
"long-chain fatty acid-CoA ligase activity","ACSL5,ACSBG1,SLC27A3,ACSM1,ACSL6,ACSL3,ACSF2,SLC27A5,SLC27A6,SLC27A2,SLC27A4,ACSBG2,ACSL1,ACSL4,SLC27A1","GO"
"long-chain fatty-acyl-CoA biosynthetic process","ACSL5,ACSBG1,HACD2,HSD17B12,ACSL6,ACSL3,HACD1,ELOVL2,ELOVL6,ELOVL7,ACSBG2,ACSL1,ACSF3,ELOVL5,ELOVL4,TECR,ELOVL1,ELOVL3,ACSL4","GO"
"long-chain fatty-acyl-CoA catabolic process","ACOT7","GO"
"long-chain fatty-acyl-CoA metabolic process","FAR1,ACSL3,FAR2,DGAT2,THEM5,DGAT1,ACSL4","GO"
"low-density lipoprotein particle receptor catabolic process","PCSK9","GO"
"lutein catabolic process","BCO2","GO"
"lycopene catabolic process","BCO2","GO"
"lysine biosynthetic process via aminoadipic acid","AASDHPPT,AASS","GO"
"lysine catabolic process","PIPOX,AASS,CRYM,HYKK,SLC25A21","GO"
"lysobisphosphatidic acid metabolic process","ACP6,ABHD6","GO"
"lysosomal protein catabolic process","TMEM106B,LAMP2,TPP1,TMEM199,SLC17A9,DPP7,VPS13A,CLN3,CCDC115","GO"
"lysyl-tRNA aminoacylation","KARS1","GO"
"mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity","METTL3,PCIF1","GO"
"mRNA (N6-adenosine)-methyltransferase activity","METTL3,METTL14,METTL16,TMT1A","GO"
"mRNA (adenine-N1-)-methyltransferase activity","TRMT61A,TRMT10C,TRMT61B","GO"
"mRNA (cytidine-5-)-methyltransferase activity","NSUN2","GO"
"mRNA (nucleoside-2'-O-)-methyltransferase activity","CMTR1,CMTR2","GO"
"mRNA 3'-end processing","CPSF6,NUDT21,CPSF3,RPRD2,ZC3H3,PAPOLA,NCBP2,CPSF7,MBLAC1,NCBP1,CSTF2,CSTF1,CLP1,CSTF2T,RPRD1B,RPRD1A","GO"
"mRNA 3'-end processing by stem-loop binding and cleavage","CPSF2,CPSF3,ZNF473,SLBP,LSM10,LSM11","GO"
"mRNA 3'-splice site recognition","SF3A1,SF3A2,SLU7,SF3A3,SF1,ISY1","GO"
"mRNA 5'-cap (guanine-N7-)-methyltransferase activity","RNMT","GO"
"mRNA 5'-splice site recognition","PSIP1,SRSF12,SFSWAP,SRSF1,PRPF39,SNRPC","GO"
"mRNA alternative polyadenylation","CPSF6,NUDT21,CPSF7,VIRMA,YTHDC1","GO"
"mRNA catabolic process","NUDT16,ERN1,RIDA,ZHX2,ZFP36L2,DXO,ZFP36,LSM6,HSPA1A,YTHDF2,LSM5,SLFN14,LSM2,SND1,RNH1,PNPT1,NANOS2,DCP2,METTL3,DIS3L2,AGO4,METTL14,METTL16,AGO3,CNOT10,NUDT16L1,HSPA1B,NUDT12","GO"
"mRNA cis splicing, via spliceosome","CLNS1A,DCPS,PRPF40A,WBP4,RBM17,CACTIN,SF3A1,NCBP2,SART1,PRPF40B,C9orf78,RBM22,PRPF4B,CWC15,NCBP2L,SDE2","GO"
"mRNA export from nucleus","ALKBH5,NUP155,NXF5,RBM8A,AGFG1,DDX25,THOC2,THOC1,NXT2,NXF3,NXT1,NUP133,NCBP3,UPF1,NUP214,SMG6,THOC3,RBM15B,THOC7,NCBP2,MAGOHB,SRSF3,NXF1,NUP107,XPO1,DDX19B,NUP160,NCBP1,NUP85,THOC5,CHTOP,EIF4E,RAE1,GLE1,NUP88,NXF2,CASC3,FYTTD1,HHEX,DDX39A,SMG7,DDX39B,THOC6,FMR1,MCM3AP,SARNP,TPR,HNRNPA2B1,SMG5,SMG1,MAGOH,ALYREF,YTHDC1,EIF4A3,UPF2","GO"
"mRNA export from nucleus in response to heat stress","TPR","GO"
"mRNA metabolic process","PCBP2,PCBP3,PABPC3,NCBP2,TBRG4,NCBP1,CEBPG,ATXN2L","GO"
"mRNA methylation","TRMT6,TRMT61A,METTL8,TRMT10C,METTL4,CBLL1,NSUN2,CMTR1,METTL3,METTL14,WTAP,TRMT61B,METTL16,ZC3H13,TMT1A,PCIF1,VIRMA","GO"
"mRNA methyltransferase activity","METTL8","GO"
"mRNA modification","HNRNPAB,DNAJB11,APOBEC2,APOBEC1,A1CF","GO"
"mRNA polyadenylation","NUDT21,CPSF2,CPSF3,AHCYL1,SSU72L2,SSU72L4,SSU72L5,SSU72L1,PAPOLA,TENT4B,SCAF8,GRSF1,PABPC1,APP,WDR33,CDC73,CPSF1,TENT2,PAF1,PCF11,SYMPK,CLP1,SSU72L6,LEO1,SSU72L3,PAPOLG,MTPAP,TUT1,SSU72,PAPOLB","GO"
"mRNA processing","ALKBH5,RBMXL1,PUS1,PTBP3,PRPF3,HNRNPR,ECD,TRUB2,THOC2,ACIN1,CPSF6,SRSF7,NUDT21,PRPF38B,SRRM4,DDX47,NSRP1,XRN2,THOC1,KHDRBS3,U2AF1,MBNL2,RBM25,H2AB2,H2AB1,PRKACA,KHDRBS2,ZPR1,PRPF18,RBM48,KHSRP,SRSF11,TIA1,SF3A1,FAM172A,SREK1,SF3A2,SF3B4,RBMY1F,NONO,JMJD6,AFF2,PPP1R8,SUGP1,PAN2,AKAP17A,USP39,THOC3,LSM3,DUS3L,RBM15B,PUS7L,THOC7,WBP11,THRAP3,RBMY1D,RBM39,ZRANB2,YBX1,RPUSD4,LSM5,CSDC2,RBM38,RRP1B,TSEN2,APOBEC2,TENT4A,CPSF4,SMNDC1,RBFOX2,ZMAT5,RBFOX3,RBMY1C,RBMY1A1,SF3A3,RPUSD3,GEMIN2,TSEN54,RBBP6,ADARB1,RBMY1E,CRIPT,ADAR,PPARGC1A,RBM27,RBM47,KHDRBS1,FAM50A,PRPF8,PRMT9,CLASRP,FASTKD5,C1QBP,MBNL1,KIN,RBM11,MBNL3,HOXB-AS3,TCERG1,SRSF1,PNPT1,RNASEL,CCAR2,SCAF1,LARP7,CDK12,ZFP36L1,PDE12,HSF1,RBMY1B,SFPQ,SON,THOC5,TARDBP,HNRNPA0,SREK1IP1,SCAF11,CELF1,CIR1,ESRP1,BRDT,ARL6IP4,CPEB1,METTL3,PABPN1,HABP4,HNRNPLL,SUPT6H,APOBEC4,TSEN15,TRUB1,PTCD2,RPUSD2,TRMT2A,SAP18,PTBP1,SUGP2,CHD8,ELAVL4,U2AF2,ARVCF,WTAP,APOBEC1,RBM24,PPIL2,AICDA,FIP1L1,ERN2,RBFOX1,RBM20,LSM1,RBM28,IWS1,THOC6,HNRNPL,RBM23,NBDY,RBM26,ARMC7,SNRNP48,FMR1,TTF2,CNOT6L,SRSF2,DHX15,ZC3H13,SRSF4,AKAP8L,NRDE2,PRKRIP1,HNRNPA2B1,LGALS3,A1CF,TSEN34,PUS7,QKI,SRRT,PPP4R2,SRSF5,SRSF9,ZNF326,PAN3,ZNF830,ADARB2,SF3B2","GO"
"mRNA pseudouridine synthesis","PUS1,TRUB2,PUS7L,RPUSD4,DKC1,PUS3,TRUB1,RPUSD2,PUS7","GO"
"mRNA splice site recognition","SRSF10,LUC7L2,CELF2,CELF6,PTBP2,PUF60,LUC7L,SETX,SRSF1,KHDC4,CELF5,CELF1,CELF4,CELF3,LUC7L3,SRSF6,SRSF5,SRSF9,NOL3,YTHDC1","GO"
"mRNA splicing, via endonucleolytic cleavage and ligation","ERN1","GO"
"mRNA splicing, via spliceosome","RBM8A,LSM8,PRPF3,HNRNPR,PPWD1,SRSF10,SYF2,PRPF40A,RBM5,PNN,SRSF7,TRA2B,LSM4,FRA10AC1,PAXBP1,SNRNP200,HTATSF1,SF3B6,RBMXL2,WBP4,SF3B1,PLRG1,U2AF1,PPIL3,RALY,ESS2,SNRNP40,CTNNBL1,CACTIN,RBMX,SF3A1,SF3A2,SF3B4,U2AF1L4,GPKOW,YJU2B,SRSF12,GEMIN6,PRPF31,XAB2,DDX23,MFAP1,PPIH,SNU13,HSPA8,ZRSR2,ZRSR2P1,USP39,DHX8,SNRPD3,SNRPD2,SNRPD1,LSM6,LSM3,PRPF4,PPIL1,RBMX2,SNRPG,SNRPF,SNRPE,PRPF38A,LSM5,MTREX,LSM2,SNRNP35,NCBP2,MAGOHB,HNRNPM,SRSF3,LSM7,SLU7,RBM19,WDR83,SF3A3,SNW1,PABPC1,TXNL4B,GEMIN5,FRG1,PRPF8,PHF5A,HNRNPK,USP49,RNPC3,SRSF8,NCBP1,SRSF1,HNRNPF,RBM6,RBMXL3,SART1,HNRNPU,RBM4,SF3B5,CWF19L2,SMU1,SF3B3,NOVA2,ZCCHC8,CDC5L,HNRNPH1,HNRNPH3,UBL5,SNIP1,CRNKL1,DBR1,HNRNPA1L3,SNRNP70,METTL3,SF1,SNRNP27,TXNL4A,HNRNPA3,GCFC2,CWC27,SRRM2,PRPF6,SNRPN,DDX46,RNPS1,SRRM1,DHX38,CWC22,NOVA1,METTL14,U2AF2,PRPF40B,EFTUD2,SART3,C9orf78,CASC3,TFIP11,IK,RBM42,RBM22,PRPF19,SNRPA1,HNRNPA1,BUD31,DDX39A,DDX39B,ZCRB1,SNRPB,TRA2A,PRPF4B,CWC15,AQR,DHX35,SRSF2,DHX15,GPATCH1,SNRPC,BUD13,RBM10,SRSF4,DDX41,DDX5,BCAS2,ISY1,RSRC1,RBM41,RBM44,CDC40,SYNCRIP,GEMIN7,ZMAT2,HNRNPC,PPIE,NCBP2L,HNRNPA2B1,DHX16,RBM14,SNRPGP15,MAGOH,RNF113A,SRSF6,SRSF5,SNRNP25,CWC25,CWF19L1,ALYREF,CENATAC,SNRPB2,RBM4B,YTHDC1,SNRPA,HNRNPA1L2,SF3B2,EIF4A3","GO"
"mRNA transcription","EREG,TP53,DDX5,HIPK3","GO"
"mRNA transcription by RNA polymerase II","TAF9,ANXA2,TAF12,TAF3,THRB,NCOA1,SREBF1,NCBP3,CREB1,TAF10,TAF4,RXRB,NR1H2,MED1,EPAS1,PPARG,HLTF,STAT3,TBP,RARA,ZBTB1,NCBP2,TFCP2,ATF2,S100A10,NCBP1,C5AR1,ATF4,TAF8,NFKBIZ,FLNA,TAF4B,VDR,TAF1,AP3B1,NCOA2,TAF7,TAF11,TAF13,TAF5,RXRA,NR1H3,TAF2,TAF6,ZIC3,FOXE3","GO"
